,container,date,location,status
719,LTIU8044982,2019-04-13,IQUIQUE (CL),Loaded (FCL) on vessel
720,TEMU6206648,2019-04-12,IQUIQUE (CL),Empty pick-up by merchant haulage
721,EGSU9027890,2019-04-04,CALLAO (PE),Empty container returned under damaged condition
722,EGHU9373646,2019-04-03,CALLAO (PE),Empty container returned under damaged condition
723,HMCU1054038,2019-04-05,CALLAO (PE),Empty container returned
724,LTIU6037480,2019-04-05,CALLAO (PE),Empty container returned
725,EGHU1036850,2019-04-08,CALLAO (PE),Empty container returned
726,EGHU1058904,2019-04-11,CALLAO (PE),Empty container returned
727,EMCU1411554,2019-04-10,CALLAO (PE),Empty container returned
728,IMTU1025340,2019-04-08,CALLAO (PE),Empty container returned
729,LTIU6029633,2019-04-11,CALLAO (PE),Empty container returned
730,LTIU6053877,2019-04-10,CALLAO (PE),Empty container returned
731,XINU4028861,2019-04-10,CALLAO (PE),Empty container returned
732,EISU9292222,2019-03-30,CALLAO (PE),Discharged (FCL)
733,TGBU6769981,2019-03-30,CALLAO (PE),Discharged (FCL)
734,EMCU9655710,2019-04-01,CALLAO (PE),Pick-up by merchant haulage
735,TEMU6411112,2019-04-01,CALLAO (PE),Pick-up by merchant haulage
736,EGHU9179991,2019-04-01,CALLAO (PE),Pick-up by merchant haulage
737,EGHU9208066,2019-04-01,CALLAO (PE),Pick-up by merchant haulage
738,EGHU9299214,2019-04-01,CALLAO (PE),Pick-up by merchant haulage
739,EGHU9365743,2019-04-01,CALLAO (PE),Pick-up by merchant haulage
740,AMFU8791880,2019-04-01,CALLAO (PE),Pick-up by merchant haulage
741,EGHU9161729,2019-04-01,CALLAO (PE),Pick-up by merchant haulage
742,EGHU1005669,2019-04-03,CALLAO (PE),Empty container returned under damaged condition
743,EMCU1344585,2019-04-03,CALLAO (PE),Empty container returned
744,HMCU1075278,2019-04-03,CALLAO (PE),Empty container returned
745,EGSU3131607,2019-03-31,CALLAO (PE),Full import container received at inland depot
746,TEMU4295836,2019-04-16,CALLAO (PE),Empty pick-up by merchant haulage
747,AMFU8656909,2019-04-13,CALLAO (PE),Empty container returned
748,TEMU7334685,2019-04-02,CALLAO (PE),Empty container returned
749,EGHU1016025,2019-04-04,CALLAO (PE),Empty container returned
750,EGHU1026511,2019-04-03,CALLAO (PE),Empty container returned
751,IMTU1079032,2019-04-04,CALLAO (PE),Empty container returned under damaged condition
752,EGSU3047327,2019-04-11,CALLAO (PE),Loaded (FCL) on vessel
753,EMCU3905556,2019-04-11,CALLAO (PE),Loaded (FCL) on vessel
754,EMCU3961755,2019-04-11,CALLAO (PE),Loaded (FCL) on vessel
755,TEMU3604503,2019-04-11,CALLAO (PE),Loaded (FCL) on vessel
756,EGHU3524513,2019-04-12,CALLAO (PE),Empty pick-up by merchant haulage
757,EISU2267737,2019-04-13,CALLAO (PE),Empty pick-up by merchant haulage
758,EGHU3597649,2019-04-11,CALLAO (PE),Empty container returned
759,IMTU9081479,2019-04-01,CALLAO (PE),Full import container received at inland depot
760,EISU9449482,2019-04-01,CALLAO (PE),Full import container received at inland depot
761,EMCU1414189,2019-04-01,CALLAO (PE),Full import container received at inland depot
762,XINU1104680,2019-04-05,CALLAO (PE),Empty container returned to carrier assigned depot.
763,EGSU3028121,2019-04-11,CALLAO (PE),Loaded (FCL) on vessel
764,EISU9107319,2019-04-12,SAN ANTONIO (CL),Empty container returned
765,EGHU3601899,2019-04-09,SAN ANTONIO (CL),Empty container returned under damaged condition
766,EGHU3581128,2019-04-09,LIRQUEN (CL),Empty container returned
767,IMTU9087163,2019-04-12,SAN ANTONIO (CL),Empty container returned
768,EGSU9034190,2019-04-12,SAN ANTONIO (CL),Empty container returned under damaged condition
769,EMCU9816760,2019-04-10,SAN ANTONIO (CL),Pick-up by merchant haulage
770,HMCU9098304,2019-04-12,SAN ANTONIO (CL),Empty container returned
771,TEMU6225421,2019-04-10,SAN ANTONIO (CL),Pick-up by merchant haulage
772,EISU9330847,2019-04-09,SANTIAGO (CL),Empty container returned
773,EISU9987641,2019-04-09,SANTIAGO (CL),Empty container returned
774,TGHU9028367,2019-04-09,SANTIAGO (CL),Empty container returned
775,EGHU3255780,2019-04-10,SAN ANTONIO (CL),Empty container returned under damaged condition
776,HMCU3006105,2019-04-12,SAN ANTONIO (CL),Empty container returned
777,EISU9226750,2019-04-09,SAN ANTONIO (CL),Pick-up by merchant haulage
778,EMCU9791933,2019-04-12,SANTIAGO (CL),Empty container returned
779,EGSU1021806,2019-04-09,SANTIAGO (CL),Empty container returned
780,EISU2015041,2019-04-09,SAN ANTONIO (CL),Pick-up by merchant haulage
781,EGSU9119018,2019-04-10,SANTIAGO (CL),Empty container returned
782,EGSU9138363,2019-04-09,SAN ANTONIO (CL),Full import container received at inland depot
783,EISU2190363,2019-04-12,SAN ANTONIO (CL),Empty container returned
784,LTIU3036325,2019-04-11,SAN ANTONIO (CL),Empty container returned
785,TGHU8510570,2019-04-09,SAN ANTONIO (CL),Pick-up by merchant haulage
786,TEMU6474770,2019-04-12,SAN ANTONIO (CL),Empty container returned
787,EGHU3337127,2019-04-08,SAN ANTONIO (CL),Pick-up by merchant haulage
788,EISU1879980,2019-04-09,SAN ANTONIO (CL),Pick-up by merchant haulage
789,EISU1881376,2019-04-09,SAN ANTONIO (CL),Pick-up by merchant haulage
790,HMCU1106023,2019-04-09,SAN ANTONIO (CL),Pick-up by merchant haulage
791,EGHU9322470,2019-04-09,SAN ANTONIO (CL),Pick-up by merchant haulage
792,EISU9221297,2019-04-09,SAN ANTONIO (CL),Pick-up by merchant haulage
793,EMCU6053432,2019-04-09,SAN ANTONIO (CL),Empty container returned under damaged condition
794,EISU2151372,2019-04-09,LIRQUEN (CL),Empty container returned
795,EMCU3921691,2019-04-09,LIRQUEN (CL),Empty container returned
796,IMTU3089153,2019-04-09,LIRQUEN (CL),Empty container returned
797,EGHU3199537,2019-04-08,LIRQUEN (CL),Empty container returned
798,EGHU3203025,2019-04-08,LIRQUEN (CL),Empty container returned
799,EGHU3339536,2019-04-08,LIRQUEN (CL),Empty container returned
800,EGHU3377351,2019-04-08,LIRQUEN (CL),Empty container returned
801,EGHU3481849,2019-04-08,LIRQUEN (CL),Empty container returned
802,EGHU3082094,2019-04-13,SAN ANTONIO (CL),Empty pick-up by merchant haulage
803,EGHU3489325,2019-04-13,SAN ANTONIO (CL),Empty pick-up by merchant haulage
804,EGHU3611731,2019-04-13,SAN ANTONIO (CL),Empty pick-up by merchant haulage
805,EGHU3647992,2019-04-10,SAN ANTONIO (CL),Empty container returned
806,EGSU3121018,2019-04-10,SAN ANTONIO (CL),Empty container returned
807,EMCU3929985,2019-04-10,SAN ANTONIO (CL),Empty container returned
808,EGHU3420041,2019-04-07,SAN ANTONIO (CL),Pick-up by merchant haulage
809,EGHU3515086,2019-04-07,SAN ANTONIO (CL),Pick-up by merchant haulage
810,EISU2036002,2019-04-07,SAN ANTONIO (CL),Pick-up by merchant haulage
811,EISU2037185,2019-04-07,SAN ANTONIO (CL),Pick-up by merchant haulage
812,EISU2157180,2019-04-07,SAN ANTONIO (CL),Pick-up by merchant haulage
813,EISU2191591,2019-04-07,SAN ANTONIO (CL),Pick-up by merchant haulage
814,EMCU3935930,2019-04-07,SAN ANTONIO (CL),Pick-up by merchant haulage
815,EMCU6026191,2019-04-07,SAN ANTONIO (CL),Pick-up by merchant haulage
816,TEMU3398819,2019-04-07,SAN ANTONIO (CL),Pick-up by merchant haulage
817,TEMU3876142,2019-04-07,SAN ANTONIO (CL),Pick-up by merchant haulage
818,EISU9345770,2019-04-02,CALLAO (PE),Empty container returned
819,TGBU5999212,2019-03-23,PUERTO QUETZAL (GT),Loaded (FCL) on vessel
820,TGBU6923783,2019-03-23,PUERTO QUETZAL (GT),Loaded (FCL) on vessel
821,EISU2059564,2019-03-23,PUERTO QUETZAL (GT),Loaded (FCL) on vessel
822,EISU2105802,2019-03-23,PUERTO QUETZAL (GT),Loaded (FCL) on vessel
823,EMCU6010132,2019-03-23,PUERTO QUETZAL (GT),Loaded (FCL) on vessel
824,TEMU3851463,2019-03-23,PUERTO QUETZAL (GT),Loaded (FCL) on vessel
825,TGHU0308958,2019-03-23,PUERTO QUETZAL (GT),Loaded (FCL) on vessel
826,EGSU9092473,2019-03-23,PUERTO QUETZAL (GT),Loaded (FCL) on vessel
827,EGSU9135657,2019-03-23,PUERTO QUETZAL (GT),Loaded (FCL) on vessel
828,EMCU9773457,2019-03-23,PUERTO QUETZAL (GT),Loaded (FCL) on vessel
829,EMCU9874730,2019-03-23,PUERTO QUETZAL (GT),Loaded (FCL) on vessel
830,TGBU6899162,2019-03-24,PUERTO QUETZAL (GT),Loaded (FCL) on vessel
831,TGHU3418157,2019-04-03,GUAYAQUIL (EC),Discharged (FCL)
832,GATU8810938,2019-04-06,GUAYAQUIL (EC),Empty container returned
833,HMCU1078132,2019-04-13,GUAYAQUIL (EC),Empty container returned
834,EISU2002975,2019-04-08,GUAYAQUIL (EC),Empty container returned under damaged condition
835,EMCU9712889,2019-04-13,GUAYAQUIL (EC),Loaded (FCL) on vessel
836,EISU2060333,2019-04-13,GUAYAQUIL (EC),Empty pick-up by merchant haulage
837,HMCU1006723,2019-04-12,GUAYAQUIL (EC),Pick-up by merchant haulage
838,TEMU6370630,2019-04-03,GUAYAQUIL (EC),Discharged (FCL)
839,EGHU3566252,2019-04-06,GUAYAQUIL (EC),Empty container returned under damaged condition
840,HMCU1034448,2019-04-13,GUAYAQUIL (EC),Empty container returned
841,EISU2241990,2019-04-09,GUAYAQUIL (EC),Pick-up by merchant haulage
842,EMCU3933244,2019-04-09,GUAYAQUIL (EC),Pick-up by merchant haulage
843,TEMU6272660,2019-04-15,CALLAO (PE),Discharged (FCL)
844,IMTU9062777,2019-04-11,GUAYAQUIL (EC),Empty container returned
845,HMCU1047825,2019-04-13,GUAYAQUIL (EC),Empty container returned
846,IMTU1024045,2019-04-09,GUAYAQUIL (EC),Empty container returned
847,EGHU3014757,2019-04-09,GUAYAQUIL (EC),Empty container returned under damaged condition
848,EGHU3023893,2019-04-03,GUAYAQUIL (EC),Discharged (FCL)
849,TEMU6060050,2019-04-03,GUAYAQUIL (EC),Discharged (FCL)
850,EGHU3008292,2019-04-03,GUAYAQUIL (EC),Discharged (FCL)
851,EGSU3133003,2019-04-03,GUAYAQUIL (EC),Discharged (FCL)
852,EGHU3213743,2019-04-04,GUAYAQUIL (EC),Empty container returned
853,EISU9001097,2019-04-03,GUAYAQUIL (EC),Discharged (FCL)
854,TEMU6634060,2019-04-03,GUAYAQUIL (EC),Discharged (FCL)
855,TGBU6772049,2019-04-17,GUAYAQUIL (EC),Loaded (FCL) on vessel
856,GATU8695177,2019-04-10,GUAYAQUIL (EC),Empty container returned
857,AXIU8486873,2019-04-12,GUAYAQUIL (EC),Empty container returned under damaged condition
858,EGHU3342761,2019-04-12,GUAYAQUIL (EC),Empty container returned under damaged condition
859,EGSU3029088,2019-04-12,GUAYAQUIL (EC),Empty container returned under damaged condition
860,IMTU3004562,2019-04-13,GUAYAQUIL (EC),Received (FCL)
861,EISU1728346,2019-04-13,GUAYAQUIL (EC),Empty container returned
862,EGHU3246264,2019-04-08,GUAYAQUIL (EC),Empty container returned under damaged condition
863,EGHU3492289,2019-04-10,GUAYAQUIL (EC),Empty container returned
864,EGHU3552639,2019-04-10,GUAYAQUIL (EC),Empty container returned
865,EISU3851299,2019-04-10,GUAYAQUIL (EC),Empty container returned under damaged condition
866,EMCU3796136,2019-04-08,GUAYAQUIL (EC),Pick-up by merchant haulage
867,EGSU9119527,2019-04-03,GUAYAQUIL (EC),Discharged (FCL)
868,EGHU3174077,2019-04-05,GUAYAQUIL (EC),Empty container returned
869,EGHU3560932,2019-04-08,GUAYAQUIL (EC),Empty container returned under damaged condition
870,EGHU3583901,2019-04-05,GUAYAQUIL (EC),Empty container returned under damaged condition
871,EGHU3607109,2019-04-08,GUAYAQUIL (EC),Empty container returned
872,EGHU3324080,2019-04-10,GUAYAQUIL (EC),Empty container returned under damaged condition
873,EGHU3549487,2019-04-09,GUAYAQUIL (EC),Empty container returned under damaged condition
874,EGHU3586053,2019-04-09,GUAYAQUIL (EC),Empty container returned under damaged condition
875,EGHU3636154,2019-04-09,GUAYAQUIL (EC),Empty container returned under damaged condition
876,EGSU9127775,2019-04-11,GUAYAQUIL (EC),Empty container returned
877,EISU2016074,2019-04-12,GUAYAQUIL (EC),Empty container returned
878,HMCU3052775,2019-04-02,GUAYAQUIL (EC),Discharged (FCL)
879,TGBU6611213,2019-04-03,GUAYAQUIL (EC),Discharged (FCL)
880,EGSU9050164,2019-04-03,GUAYAQUIL (EC),Discharged (FCL)
881,EGHU5008497,2019-04-09,GUAYAQUIL (EC),Empty container returned under damaged condition
882,EMCU5290189,2019-04-13,GUAYAQUIL (EC),Loaded (FCL) on vessel
883,TGHU9002866,2019-04-17,GUAYAQUIL (EC),Received (FCL)
884,HMCU3025609,2019-04-08,GUAYAQUIL (EC),Empty container returned
885,EGHU3312176,2019-04-09,GUAYAQUIL (EC),Empty container returned under damaged condition
886,EISU1771337,2019-04-13,GUAYAQUIL (EC),Empty container returned
887,EISU1700061,2019-04-04,CALLAO (PE),Empty container returned under damaged condition
888,EMCU5318666,2019-04-08,GUAYAQUIL (EC),Empty container returned under damaged condition
889,EMCU5323913,2019-04-06,GUAYAQUIL (EC),Empty container returned under damaged condition
890,EMCU5336680,2019-04-04,GUAYAQUIL (EC),Empty container returned under damaged condition
891,EMCU5341706,2019-04-08,GUAYAQUIL (EC),Empty container returned under damaged condition
892,EMCU5347221,2019-04-04,GUAYAQUIL (EC),Empty container returned under damaged condition
893,EMCU5351860,2019-04-04,GUAYAQUIL (EC),Empty container returned under damaged condition
894,EMCU5352300,2019-04-08,GUAYAQUIL (EC),Empty container returned under damaged condition
895,EMCU5354386,2019-04-08,GUAYAQUIL (EC),Empty container returned under damaged condition
896,EMCU5357235,2019-04-04,GUAYAQUIL (EC),Empty container returned under damaged condition
897,EMCU5391970,2019-04-08,GUAYAQUIL (EC),Empty container returned under damaged condition
898,EMCU5395847,2019-04-06,GUAYAQUIL (EC),Empty container returned under damaged condition
899,EMCU5407336,2019-04-08,GUAYAQUIL (EC),Empty container returned under damaged condition
900,EMCU5414530,2019-04-08,GUAYAQUIL (EC),Empty container returned under damaged condition
901,EMCU5430681,2019-04-08,GUAYAQUIL (EC),Empty container returned under damaged condition
902,EMCU5432658,2019-04-04,GUAYAQUIL (EC),Empty container returned under damaged condition
903,EMCU5433438,2019-04-08,GUAYAQUIL (EC),Empty container returned under damaged condition
904,TEMU9077349,2019-04-04,GUAYAQUIL (EC),Empty container returned under damaged condition
905,TEMU9104125,2019-04-08,GUAYAQUIL (EC),Empty container returned under damaged condition
906,EMCU5299592,2019-04-04,GUAYAQUIL (EC),Empty container returned under damaged condition
907,EMCU5308903,2019-04-08,GUAYAQUIL (EC),Empty container returned under damaged condition
908,EGHU5005749,2019-04-08,GUAYAQUIL (EC),Empty container returned under damaged condition
909,EISU5672672,2019-04-04,GUAYAQUIL (EC),Empty container returned under damaged condition
910,EISU5694711,2019-04-08,GUAYAQUIL (EC),Empty container returned under damaged condition
911,EISU5706659,2019-04-08,GUAYAQUIL (EC),Empty container returned under damaged condition
912,EMCU5269685,2019-04-08,GUAYAQUIL (EC),Empty container returned under damaged condition
913,EMCU5271548,2019-04-08,GUAYAQUIL (EC),Empty container returned under damaged condition
914,EMCU5278727,2019-04-06,GUAYAQUIL (EC),Empty container returned under damaged condition
915,EMCU5291035,2019-04-08,GUAYAQUIL (EC),Empty container returned under damaged condition
916,EMCU5295832,2019-04-09,GUAYAQUIL (EC),Empty container returned under damaged condition
917,EISU1767044,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
918,EMCU1376849,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
919,IMTU1019645,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
920,IMTU1020116,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
921,IMTU1055370,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
922,EGHU9080801,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
923,EGHU9086190,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
924,EGHU9102182,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
925,EGSU9100347,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
926,EMCU9652840,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
927,EMCU9671060,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
928,EMCU9766231,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
929,EMCU9792858,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
930,EMCU9832478,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
931,GATU8766183,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
932,HMCU9066035,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
933,HMCU9129180,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
934,HMCU9169619,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
935,MAGU5292039,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
936,TEMU6075403,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
937,TEMU6178525,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
938,TEMU6447856,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
939,TEMU8965176,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
940,TGBU6523909,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
941,TGBU6633547,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
942,TGBU5828328,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
943,TGBU6021686,2019-03-22,PUERTO QUETZAL (GT),Empty container returned
944,TGBU6745491,2019-03-22,PUERTO QUETZAL (GT),Empty container returned
945,TGBU6896245,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
946,XINU8162539,2019-03-22,PUERTO QUETZAL (GT),Empty container returned
947,TGBU6078125,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
948,EGHU9115678,2019-03-22,PUERTO QUETZAL (GT),Empty container returned
949,EGHU9201781,2019-03-22,PUERTO QUETZAL (GT),Empty container returned
950,EGHU9320332,2019-03-22,PUERTO QUETZAL (GT),Empty container returned
951,EGHU9334320,2019-03-22,PUERTO QUETZAL (GT),Empty container returned
952,EGSU9000517,2019-03-22,PUERTO QUETZAL (GT),Empty container returned
953,EGSU9177610,2019-03-22,PUERTO QUETZAL (GT),Empty container returned
954,EISU9009415,2019-03-22,PUERTO QUETZAL (GT),Empty container returned
955,HMCU9132651,2019-03-22,PUERTO QUETZAL (GT),Empty container returned
956,LTIU8002020,2019-03-22,PUERTO QUETZAL (GT),Empty container returned
957,TEMU8377151,2019-03-22,PUERTO QUETZAL (GT),Empty container returned
958,TEMU8520935,2019-03-22,PUERTO QUETZAL (GT),Empty container returned
959,EGHU9278628,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
960,HMCU9219833,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
961,TEMU6475312,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
962,TGBU6307073,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
963,TGBU6643360,2019-03-23,PUERTO QUETZAL (GT),Empty container returned
964,HMCU9154856,2019-04-03,CALLAO (PE),Empty container returned under damaged condition
965,EISU3999990,2019-04-09,CALLAO (PE),Empty pick-up by merchant haulage
966,TEMU6476999,2019-04-15,CALLAO (PE),Loaded (FCL) on vessel
967,TGBU6607907,2019-04-13,CALLAO (PE),Empty pick-up by merchant haulage
968,TEMU6223624,2019-04-15,CALLAO (PE),Received
969,EISU9369812,2019-04-10,CALLAO (PE),Empty container returned
970,EMCU9758107,2019-04-09,CALLAO (PE),Empty container returned
971,IMTU9013941,2019-04-08,CALLAO (PE),Empty container returned
972,EMCU9746678,2019-04-05,CALLAO (PE),Empty container returned
973,HMCU9226426,2019-04-09,CALLAO (PE),Empty container returned
974,TEMU7836657,2019-04-05,CALLAO (PE),Empty container returned
975,EGHU3430477,2019-04-10,CALLAO (PE),Empty pick-up by merchant haulage
976,EGHU3206786,2019-04-10,CALLAO (PE),Empty pick-up by merchant haulage
977,EISU9316509,2019-03-27,CALLAO (PE),Discharged (FCL)
978,EMCU3636312,2019-03-18,BUENAVENTURA (CO),Empty container returned
979,EMCU3689328,2019-03-18,BUENAVENTURA (CO),Empty container returned
980,EMCU3901680,2019-03-19,BUENAVENTURA (CO),Empty container returned
981,EMCU3907060,2019-03-19,BUENAVENTURA (CO),Empty container returned
982,EMCU3914183,2019-03-19,BUENAVENTURA (CO),Empty container returned
983,EMCU3916020,2019-03-19,BUENAVENTURA (CO),Empty container returned
984,EMCU3923930,2019-03-14,BUENAVENTURA (CO),Empty container returned
985,EMCU3973782,2019-03-18,BUENAVENTURA (CO),Empty container returned
986,EMCU3979667,2019-03-12,BUENAVENTURA (CO),Empty container returned
987,EMCU6028996,2019-03-18,BUENAVENTURA (CO),Empty container returned
988,HMCU3025553,2019-03-07,BUENAVENTURA (CO),Empty container returned
989,HMCU3057720,2019-03-16,BUENAVENTURA (CO),Empty container returned
990,IMTU3038881,2019-03-09,BUENAVENTURA (CO),Empty container returned
991,IMTU3041139,2019-03-18,BUENAVENTURA (CO),Empty container returned
992,IMTU3063267,2019-03-20,BUENAVENTURA (CO),Empty container returned
993,IMTU3089512,2019-03-18,BUENAVENTURA (CO),Empty container returned
994,MAGU2185850,2019-03-16,BUENAVENTURA (CO),Empty container returned
995,MAGU2374637,2019-03-12,BUENAVENTURA (CO),Empty container returned
996,MAGU2380706,2019-02-23,BUENAVENTURA (CO),Empty container returned
997,MAGU2385605,2019-03-20,BUENAVENTURA (CO),Empty container returned
998,TEMU0506355,2019-03-20,BUENAVENTURA (CO),Empty container returned
999,TEMU0536494,2019-03-18,BUENAVENTURA (CO),Empty container returned
1000,TEMU0694864,2019-03-18,BUENAVENTURA (CO),Empty container returned
1001,TEMU3589939,2019-03-16,BUENAVENTURA (CO),Empty container returned
1002,TEMU3848310,2019-03-15,BUENAVENTURA (CO),Empty container returned
1003,TEMU3918042,2019-03-16,BUENAVENTURA (CO),Empty container returned
1004,TEMU4133244,2019-03-19,BUENAVENTURA (CO),Empty container returned
1005,TEMU5918822,2019-03-18,BUENAVENTURA (CO),Empty container returned
1006,AXIU8499145,2019-03-07,BUENAVENTURA (CO),Empty container returned
1007,CLHU3549300,2019-03-12,BUENAVENTURA (CO),Empty container returned
1008,EGHU3133397,2019-03-18,BUENAVENTURA (CO),Empty container returned
1009,EGHU3262286,2019-03-20,BUENAVENTURA (CO),Empty container returned
1010,EGHU3545590,2019-03-12,BUENAVENTURA (CO),Empty container returned
1011,EGHU3595097,2019-03-18,BUENAVENTURA (CO),Empty container returned
1012,EGHU3607259,2019-03-20,BUENAVENTURA (CO),Empty container returned
1013,EGSU3011197,2019-03-18,BUENAVENTURA (CO),Empty container returned
1014,EGSU3017174,2019-03-11,BUENAVENTURA (CO),Empty container returned
1015,EGSU3023140,2019-03-16,BUENAVENTURA (CO),Empty container returned
1016,EISU2026827,2019-03-18,BUENAVENTURA (CO),Empty container returned
1017,EISU2042010,2019-03-16,BUENAVENTURA (CO),Empty container returned
1018,EISU2052575,2019-03-16,BUENAVENTURA (CO),Empty container returned
1019,EISU2129384,2019-03-18,BUENAVENTURA (CO),Empty container returned
1020,EISU2148018,2019-03-12,BUENAVENTURA (CO),Empty container returned
1021,EISU2184421,2019-03-19,BUENAVENTURA (CO),Empty container returned
1022,EISU2251432,2019-03-16,BUENAVENTURA (CO),Empty container returned
1023,EISU3848417,2019-03-08,BUENAVENTURA (CO),Empty container returned
1024,EISU3951410,2019-03-19,BUENAVENTURA (CO),Empty container returned
1025,EMCU3462057,2019-03-12,BUENAVENTURA (CO),Empty container returned
1026,EMCU3580595,2019-03-13,BUENAVENTURA (CO),Empty container returned
1027,IMTU1078530,2019-03-20,BUENAVENTURA (CO),Empty container returned
1028,TEMU8406028,2019-03-16,BUENAVENTURA (CO),Empty container returned
1029,TEMU8540612,2019-03-08,BUENAVENTURA (CO),Empty container returned
1030,TEMU8681307,2019-03-09,BUENAVENTURA (CO),Empty container returned
1031,TEMU8962238,2019-03-07,BUENAVENTURA (CO),Empty container returned
1032,TGBU5816815,2019-03-09,BUENAVENTURA (CO),Empty container returned
1033,TGBU5823521,2019-03-13,BUENAVENTURA (CO),Empty container returned
1034,TGBU5995074,2019-03-20,BUENAVENTURA (CO),Empty container returned
1035,TGBU6003430,2019-03-07,BUENAVENTURA (CO),Empty container returned
1036,TGBU6087050,2019-03-11,BUENAVENTURA (CO),Empty container returned
1037,TGBU6282289,2019-03-15,BUENAVENTURA (CO),Empty container returned
1038,TGBU6284403,2019-03-09,BUENAVENTURA (CO),Empty container returned
1039,TGBU6287043,2019-03-16,BUENAVENTURA (CO),Empty container returned
1040,TGBU6289998,2019-03-18,BUENAVENTURA (CO),Empty container returned
1041,TGBU6580766,2019-03-06,BUENAVENTURA (CO),Empty container returned
1042,TGBU6609957,2019-03-15,BUENAVENTURA (CO),Empty container returned
1043,TGBU6617973,2019-03-19,BUENAVENTURA (CO),Empty container returned
1044,TGBU6726681,2019-03-06,BUENAVENTURA (CO),Empty container returned
1045,TGBU6731271,2019-03-16,BUENAVENTURA (CO),Empty container returned
1046,TGBU6776867,2019-03-15,BUENAVENTURA (CO),Empty container returned
1047,TGBU6784184,2019-03-11,BUENAVENTURA (CO),Empty container returned
1048,TGBU6904090,2019-03-09,BUENAVENTURA (CO),Empty container returned
1049,TGBU6944533,2019-03-23,BUENAVENTURA (CO),Empty container returned under damaged condition
1050,TGBU6963071,2019-03-11,BUENAVENTURA (CO),Empty container returned
1051,TGBU6964102,2019-03-09,BUENAVENTURA (CO),Empty container returned
1052,TGBU7060440,2019-03-14,BUENAVENTURA (CO),Empty container returned
1053,TGBU7149352,2019-03-08,BUENAVENTURA (CO),Empty container returned
1054,TGBU7152850,2019-03-13,BUENAVENTURA (CO),Empty container returned
1055,TGBU7155904,2019-03-11,BUENAVENTURA (CO),Empty container returned
1056,TGHU8881919,2019-03-18,BUENAVENTURA (CO),Empty container returned
1057,TGHU8996008,2019-03-13,BUENAVENTURA (CO),Empty container returned
1058,TGHU9213494,2019-03-14,BUENAVENTURA (CO),Empty container returned
1059,TEMU7141177,2019-03-07,BUENAVENTURA (CO),Empty container returned
1060,TEMU7141840,2019-02-28,BUENAVENTURA (CO),Empty container returned
1061,XINU8023908,2019-03-08,BUENAVENTURA (CO),Empty container returned
1062,LTIU6037449,2019-03-07,BUENAVENTURA (CO),Empty container returned
1063,LTIU6071274,2019-03-15,BUENAVENTURA (CO),Empty container returned
1064,TGHU5137267,2019-03-16,BUENAVENTURA (CO),Empty container returned
1065,AMFU8868554,2019-03-20,BUENAVENTURA (CO),Empty container returned
1066,TEMU6060044,2019-03-09,BUENAVENTURA (CO),Empty container returned
1067,TEMU6088972,2019-03-13,BUENAVENTURA (CO),Empty container returned
1068,TEMU6201559,2019-03-15,BUENAVENTURA (CO),Empty container returned
1069,TEMU6227208,2019-03-14,BUENAVENTURA (CO),Empty container returned
1070,TEMU6249758,2019-03-06,BUENAVENTURA (CO),Empty container returned
1071,TEMU6394463,2019-03-15,BUENAVENTURA (CO),Empty container returned
1072,TEMU6408079,2019-03-11,BUENAVENTURA (CO),Empty container returned
1073,TEMU6450530,2019-03-08,BUENAVENTURA (CO),Empty container returned
1074,XINU8054010,2019-03-14,BUENAVENTURA (CO),Empty container returned
1075,XINU8059710,2019-03-14,BUENAVENTURA (CO),Empty container returned
1076,EGHU3590114,2019-03-15,BUENAVENTURA (CO),Empty container returned
